full_text,token_count,text_clean,label
"🚩 MORNING GAIN 🚩 ❣️ 
👉 @PSR42_
@_Rakessh 
@ManishKuma66724 
@Jayantiminj1008 
@Snehlata914896 
@Cgdasjaihind 
@ZIDDILADKA888 
@poojasanatani19
@Surende51078882 
@UJaiwar 
@ajoybahadursbi 
@goluraj0009 
@Thespeed0006 
@rkspatrika 
@suman_Yadav08 
@bharatvanshi_aj 
@MrXPal",141,morning gain mention mention mention mention mention mention mention mention mention mention mention mention mention mention mention mention mention,netral
"Pathan : Chudaledhu
Jawan :  Chudaledhu 
Adipurush : 🥲
Jailer : Chudaledhu 
Leo : 4/10
Animal : 6/10  
Salaar : 8/10 
Guntur Kaaram: Chudaledhu",66,pathan chudaledhu jawan chudaledhu adipurush jailer chudaledhu leo 4 10 animal 6 10 salaar 8 10 guntur kaaram chudaledhu,netral
"Dhurandhar: NW
Pathaan: 6/10
Jawan: 8.5/10
Jailer: NW
Leo: NW
Animal: 3.5/10
Salaar: NW
Guntur Kaaram: Naam bhi ni suna",63,dhurandhar nw pathaan 6 10 jawan 8 5 10 jailer nw leo nw animal 3 5 10 salaar nw guntur kaaram naam bhi ni suna,netral
"Dhurandhar: 9/10
Pathaan: 4/10
Jawan: 7/10
Jailer: 5/10
Leo: 3/10
Animal: 9/10
Salaar: 8/10 
Guntur Kaaram: 2/10",68,dhurandhar 9 10 pathaan 4 10 jawan 7 10 jailer 5 10 leo 3 10 animal 9 10 salaar 8 10 guntur kaaram 2 10,netral
"Dhurandhar: 7/10 
Pathaan: 6/10 
Jawan: 7/10 
Jailer: 5.5/10 
Leo: 6/10 
Animal: 6.5/10 
Salaar: 4/10",61,dhurandhar 7 10 pathaan 6 10 jawan 7 10 jailer 5 5 10 leo 6 10 animal 6 5 10 salaar 4 10,netral
"Pathan - 5/10
Jawan - 5/10
Adhipurush- 3/10
Jailer - 6/10
Leo - 4/10
Salaar - 8/10
Guntur Karam - 3/10
Animal - 8/10",67,pathan - 5 10 jawan - 5 10 adhipurush- 3 10 jailer - 6 10 leo - 4 10 salaar - 8 10 guntur karam - 3 10 animal - 8 10,netral
"Pathan : 4/10
Jawan :  7/10
Adipurush:  3/10
Jailer : 8/10
Leo : 6/10
Animal : 8/10  
Salaar : 8/10 
Guntur Kaaram: 5/10",68,pathan 4 10 jawan 7 10 adipurush 3 10 jailer 8 10 leo 6 10 animal 8 10 salaar 8 10 guntur kaaram 5 10,netral
@tanyarlfes Pura-pura ketiduran terus bangun pas paylaternya udah pada lunas kak,28,mention pura tidur terus bangun pas paylaternya pada lunas kak,positif
"Pathan : 4/10
Jawan :  choodaledh
Adipurush :😭😭
Jailer : 6/10
Leo : 6/10
Animal : 8/10  
Salaar : 8/10 
Guntur Kaaram: chudaledu",67,pathan 4 10 jawan choodaledh adipurush jailer 6 10 leo 6 10 animal 8 10 salaar 8 10 guntur kaaram chudaledu,netral
"Pathan : 5/10
Jawan : 3/10
Adipurush: 0.5/10
Jailer : 6/10
Leo : 6/10
Animal : 0/10
Salaar : 1/10
Guntur Kaaram: DNW",66,pathan 5 10 jawan 3 10 adipurush 0 5 10 jailer 6 10 leo 6 10 animal 0 10 salaar 1 10 guntur kaaram dnw,netral
"#Salaar Nizam day 1 ~ 22.8Cr
#GunturKaaram 4 days ~ 22Cr

#Salaar Ceeded day 1 ~ 6.5Cr
#GunturKaaram 4 days ~ 6.3Cr

#Salaar Worldwide day 1 ~ 178Cr
#GunturKaaram 4 days ~ 125Cr

Standards #Prabhas 💥👑 https://t.co/yxkDAu27SX",113,salaar nizam day 1 22 8cr gunturkaaram 4 days 22cr salaar ceeded day 1 6 5cr gunturkaaram 4 days 6 3cr salaar worldwide day 1 178cr gunturkaaram 4 days 125cr standards prabhas,positif
"Dhurandhar: 8/10
Pathaan: 3/10 
Jawan: 6/10 
Jailer: 6/10 
Leo: 7.5/10 
Animal: 7/10 
Salaar: 2/10  
Guntur Kaaram: 3/10 (only for Sreeleela 😍)",80,dhurandhar 8 10 pathaan 3 10 jawan 6 10 jailer 6 10 leo 7 5 10 animal 7 10 salaar 2 10 guntur kaaram 3 10 only for sreeleela,netral
"Dhurandhar: 11/10
Pathaan: 5/10
Jawan: 6/10
Jailer: dekhi hi nahi
Leo: 7/10
Animal: 5/10
Salaar: 8/10 
Guntur Kaaram: dekhi hi nahi",72,dhurandhar 11 10 pathaan 5 10 jawan 6 10 jailer dekhi hi nahi leo 7 10 animal 5 10 salaar 8 10 guntur kaaram dekhi hi nahi,netral
"Dhurandhar: 5/10
Pathaan: 6/10
Jawan: 9/10
Jailer: 8/10
Leo: 5/10
Animal: 6/10
Salaar: 4/10 
Guntur Kaaram: 6/10",68,dhurandhar 5 10 pathaan 6 10 jawan 9 10 jailer 8 10 leo 5 10 animal 6 10 salaar 4 10 guntur kaaram 6 10,netral
"Pathan : DNW
Jawan : 4/10 
Adipurush: DNW  
Jailer : 6/10 
Leo : 4.5/10 
Animal : 5/10
Salaar : 8/10 
Guntur Kaaram: DNW",62,pathan dnw jawan 4 10 adipurush dnw jailer 6 10 leo 4 5 10 animal 5 10 salaar 8 10 guntur kaaram dnw,netral
"Pathan : 6/10
Jawan :  5/10
Adipurush : @omraut maakkilode
Jailer : 10/10
Leo : 8/10
Animal : 10/10  
Salaar : 9/10 
Guntur Kaaram: 6/10",71,pathan 6 10 jawan 5 10 adipurush mention maakkilode jailer 10 10 leo 8 10 animal 10 10 salaar 9 10 guntur kaaram 6 10,netral
"Good #Q3FY24-31/1/24 from 1pm till 3pm

Welspun Living
#WELSPUNLIVING
V good
Rev at 2410cr vs 1869cr
EBITDA ⏫67% at 382cr with OPM at 15.6%
PBT at 240vr vs 78cr, Q2 at 259cr
PAT at 179cr vs 43cr
Net debt down by 368cr

Max Healthcare
#MAXHEALTH
Rev at 1335cr vs 1141cr
PBT at",129,good q3fy24-31 1 24 from 1pm till 3pm welspun living welspunliving v good rev at 2410cr vs 1869cr ebitda 67 at 382cr with opm at 15 6 pbt at 240vr vs 78cr q2 at 259cr pat at 179cr vs 43cr net debt down by 368cr max healthcare maxhealth rev at 1335cr vs 1141cr pbt at,positif
"@Narendr46688522 @Somsinghthapa12 @jaiswal_hariram @Rameshbawry @Ranjitmishraaa @Rakesh76634503 @RajivAgg27 @mukeshsoam @MrDon72588989 @Mrityunjay71516 @KhushbuPri37282 @SoundBmr3289 @Kailashitawadi9 @harish69665 @HarshTulsyan54 @Dipanka82446090 @durgahansdah14 @Ramprav03192019 @bija_sr @Ashokku31262301 @Kamlesh88753926 @kapilde17775191 @drsurendrpathak @Devendr12643425 @nainu51 @KunjKishore @JugalKhetan @Sushmash4Sushma @patelprevin74 @lal_chhatarpur @khushalsinghdo1 @ramgopalgpt @PNRATHOD1 @JupiterAmit @SiwanBazar @SanjayK95569891 @PRADEEP62125288 @SomNSingh1 @bipincareone @Joginde26692781 @JoyDeka8 @UshaSrivastava_ @vijay2437888367 @bossalwayboss @Alkasingh66 @Kamla_Negitw @Shailendra20929 @ManojSo98721176 @kalyan_dubey @AjayKum89016927 🇮🇳मेरा हिंदुस्तान जिंदाबाद 🇮🇳
घर घर #भगवा छायेगा #राम_राज्य फिर आयेगा, एक ही नारा एक ही नाम #जय_श्री_राम #जय_श्री_राम #हर_हर_महादेव #हर_घर_भगवा
#सनातन_धर्म_ही_सर्वश्रेष्ठ 🚩👏
शुभ रात्री मीत्रो
🙏🌹🙏",548,mention mention mention mention mention mention mention mention mention mention mention mention mention mention mention mention mention mention mention mention mention mention mention mention mention mention mention mention mention mention mention mention mention mention mention mention mention mention mention mention mention mention mention mention mention mention mention mention mention mention,positif
"Good nos-12/1 till 3pm

Amal
#AMAL
Turnaround
Good #q3fy24 🔥
Rev at 26cr vs 18cr
PBT at 2.9cr vs -3.9cr, Q2 at 1.9cr
PAT at 2.2cr vs -4.3cr

JTL Industries
#JTLIND
Good #q3fy24
Slightly lower EBITDA/tn QoQ
Rev at 567cr vs 343cr
PBT at 40cr vs 27.7cr, Q2 at 37.8cr
PAT at 30cr vs",144,good nos-12 1 till 3pm amal amal turnaround good q3fy24 rev at 26cr vs 18cr pbt at 2 9cr vs -3 9cr q2 at 1 9cr pat at 2 2cr vs -4 3cr jtl industries jtlind good q3fy24 slightly lower ebitda tn qoq rev at 567cr vs 343cr pbt at 40cr vs 27 7cr q2 at 37 8cr pat at 30cr vs,positif
"Pathan-5/10
Jawan-6.5/10
Adipurush-0/10
Jailer-7/10
Leo-7.5/10
Animal:-6/10
Salaar-8/10
Guntur kaaram-5/10",62,pathan-5 10 jawan-6 5 10 adipurush-0 10 jailer-7 10 leo-7 5 10 animal -6 10 salaar-8 10 guntur kaaram-5 10,netral
"Pathan...chodaledu
Jawan ....8/10
Adipurush..6/10
Jailer ....8/10
Leo ....7/10
Animal ...8/10
Salaar...9/10
Gk..6/10",56,pathan chodaledu jawan 8 10 adipurush 6 10 jailer 8 10 leo 7 10 animal 8 10 salaar 9 10 gk 6 10,netral
"Dhurandhar: 8/10
Pathaan: 9/10
Jawan: 10/10
Jailer: 7/10
Leo: 8/10
Animal: 8/10
Salaar: -5/10 
Guntur Kaaram: 7/10",68,dhurandhar 8 10 pathaan 9 10 jawan 10 10 jailer 7 10 leo 8 10 animal 8 10 salaar -5 10 guntur kaaram 7 10,netral
tingkat penjualan softex cooling fresh setelah ini📈📈📈📈 ayo softex endorse aku,29,tingkat jual softex cooling fresh ini ayo softex endorse aku,positif
"Pathan : 5/10Jawan : 7/10Adipurush: 3/10Jailer : 8/10 Leo : 8/10Animal : 8/10 Salaar : 7/10Guntur Kaaram: 4/10",68,pathan 5 10 jawan 7 10 adipurush 3 10 jailer 8 10 leo 8 10 animal 8 10 salaar 7 10 guntur kaaram 4 10,netral
"Pathan : 7/10
Jawan :  8/10
Adipurush:  Haven't seen yet 
Jailer :  8/10
Leo : 9/10
Animal : -10/10  
Salaar : 9/10 
Guntur Kaaram: 5/10",69,pathan 7 10 jawan 8 10 adipurush haven t seen yet jailer 8 10 leo 9 10 animal -10 10 salaar 9 10 guntur kaaram 5 10,netral
"@harish69665 @Somsinghthapa12 @Rameshbawry @Ranjitmishraaa @Mrityunjay71516 @Dipanka82446090 @jaiswal_hariram @durgahansdah14 @Ramprav03192019 @HarshTulsyan54 @bija_sr @Ashokku31262301 @SoundBmr3289 @Kamlesh88753926 @Narendr46688522 @kapilde17775191 @drsurendrpathak @Devendr12643425 @RajivAgg27 @Rakesh76634503 @nainu51 @KunjKishore @JugalKhetan @Sushmash4Sushma @patelprevin74 @Kailashitawadi9 @lal_chhatarpur @khushalsinghdo1 @MrDon72588989 @ramgopalgpt @PNRATHOD1 @JupiterAmit @SiwanBazar @SanjayK95569891 @PRADEEP62125288 @SomNSingh1 @bipincareone @KhushbuPri37282 @Joginde26692781 @JoyDeka8 @UshaSrivastava_ @vijay2437888367 @bossalwayboss @Alkasingh66 @Kamla_Negitw @Shailendra20929 @ManojSo98721176 @kalyan_dubey @AjayKum89016927 @SatendraChobey ॐ जय काली मंगला काली भद्रकाली कपालिनी। 
दुर्गा क्षमा शिवा धात्री
 स्वाहा स्वधा नमोऽस्तुते।।
#शुभ_रात्री_वंदना_मीत्रों 
🙏🌹🙏",461,mention mention mention mention mention mention mention mention mention mention mention mention mention mention mention mention mention mention mention mention mention mention mention mention mention mention mention mention mention mention mention mention mention mention mention mention mention mention mention mention mention mention mention mention mention mention mention mention mention mention,positif
"Good #Q1FY25-5/8/24 post 7pm

Sandur Manganese
#Sandur
Rev at 601cr vs 362cr, Q4 at 551cr
PBT at 195ce vs 57cr, Q4 at 216cr
Slight margin compression QoQ 
PAT at 146cr vs 40cr, Q4 at 162cr

GP Eco Solutions
#GPECO
FY24 nos
Rev at 139cr vs 103cr
PBT at 10cr vs 4cr
PAT at 7.3cr vs",128,good q1fy25-5 8 24 post 7pm sandur manganese sandur rev at 601cr vs 362cr q4 at 551cr pbt at 195ce vs 57cr q4 at 216cr slight margin compression qoq pat at 146cr vs 40cr q4 at 162cr gp eco solutions gpeco fy24 nos rev at 139cr vs 103cr pbt at 10cr vs 4cr pat at 7 3cr vs,netral
"Pathan : choodale Jawan : choodale Adipurush: 2/10Jailer : 8/10 Leo : 10/10Animal : 3/10 Salaar : 9/10Guntur Kaaram: 5/10",68,pathan choodale jawan choodale adipurush 2 10 jailer 8 10 leo 10 10 animal 3 10 salaar 9 10 guntur kaaram 5 10,negatif
"RATING TO8 
PU : 3/10😦
PPU : 7/10😍😍
PBM : 8/10🤩💙
PK : 5/10 😞😞😞 (SUMPAH NGERJAIN INI BERASA KENA SCAM KARENA PAS AWAL AWAL MASIH BISA DINALAR)
LBI : 6/10 (yaudah lah ya)
LBE : 9/10😋💙 (cinta lbe kali ini)
PM : 2/10 (nyesel gabanyak belajar PM)😓😓",136,rating to8 pu 3 10 ppu 7 10 pbm 8 10 pk 5 10 sumpah ngerjain asa kena scam pas awal awal bisa nalar lbi 6 10 yaudah lah lbe 9 10 cinta lbe kali pm 2 10 nyesel gabanyak ajar pm,netral
"Jawan:4/10
Jailer:4/10
Leo:5/10
Salaar:9/10",27,jawan 4 10 jailer 4 10 leo 5 10 salaar 9 10,netral
"Pathan : 5/10
Jawan : 6/10
Adipurush: 0/10 
Jailer : 7/10 
Leo : 9/10
Animal : 4/10 
Salaar : 5/10
Guntur Kaaram: 3/10",66,pathan 5 10 jawan 6 10 adipurush 0 10 jailer 7 10 leo 9 10 animal 4 10 salaar 5 10 guntur kaaram 3 10,positif
"อันนี้อ่านแล้วน่าสนใจอ่ะรายงานออกเมื่อวานนี้: Digital Insights Thailand Report 2024 จาก Content Shifu ที่จับมือร่วมกับ YouGov จากการทำสำรวจพฤติกรรมบนโลกดิจิตอลของคนไทยกว่า 2,000 คน
▪️5 อันดับ โซเชียลมีเดีย คนใช้งานมากที่สุด
- Line 95%
- Facebook 94%
- YouTube 93%
- TikTok 76%
-",185,digital insights thailand report 2024 content shifu yougov 2 00 5 - line 95 - facebook 94 - youtube 93 - tiktok 76 -,netral
"𝗙𝗜𝗡𝗔𝗟 𝗢𝗣𝗜𝗡𝗜𝗢𝗡 𝗣𝗢𝗟𝗟-
(𝗦𝗔𝗠𝗣𝗟𝗘 𝗦𝗜𝗭𝗘 - 𝟲𝟳𝟭𝟬𝟬)

Based on data collected till date, did some adjustment accordingly based on the latest/final data

𝗡𝗗𝗔- 𝟭𝟯𝟬-𝟭𝟱𝟭

𝗠𝗚𝗕- 𝟴𝟮-𝟭𝟬𝟯

𝗝𝗔𝗡 𝗦𝗨𝗥𝗔𝗝- 𝟭-𝟰

𝗢𝗧𝗛- 𝟱-𝟴",227,final opinion poll- sample size - 67100 based on data collected till date did some adjustment accordingly based on the latest final data nda- 130-151 mgb- 82-103 jan suraj- 1-4 oth- 5-8,positif
"My 2025-

Jan: 10L
Feb: 12L
Mar: 13L
Apr: 14L
May: 14L
Jun: 15L
Jul: 15L
Aug: 15L
Sep: 18L
Oct: 20L
Nov: 21L
Dec: 21L

Appulo.. Appulu 🙏",85,my 2025- jan 10l feb 12l mar 13l apr 14l may 14l jun 15l jul 15l aug 15l sep 18l oct 20l nov 21l dec 21l appulo appulu,positif
"@sumeet_ssb123 Dhurandhar: 10/10
Pathaan: 2/10
Jawan: 4/10
Jailer: 5/10
Leo: 6/10
Animal: 10/10
Salaar: 7/10
Guntur Kaaram: haven't seen",72,mention dhurandhar 10 10 pathaan 2 10 jawan 4 10 jailer 5 10 leo 6 10 animal 10 10 salaar 7 10 guntur kaaram haven t seen,netral
"RESULTS SEASON SO FAR 

- SBI, Hero Moto, Maruti, M&amp;M said that Festive Season sales/disbursments were good &amp; Q3 shall see further pick up 

- Bajaj Auto, Asian Paints, HUL remain wary of demand in Festive Season

=======================

PSU Banks: Reported strong numbers due to",76,results season so far - sbi hero moto marut m amp m said that festive season sales disbursments were good amp q3 shall see further pick up - bajaj auto asi paints hul remain wary of demand in festive season psu banks reported strong numbers due to,negatif
"@sumeet_ssb123 Dhurandar: 9
Pathaan: 1
Jawan: 5.5
Jailer: haven't seen
Leo: 6.5
Animal: 8
Salaar: 7
Guntur kaaram: haven't seen",63,mention dhurandar 9 pathaan 1 jawan 5 5 jailer haven t seen leo 6 5 animal 8 salaar 7 guntur kaaram haven t seen,negatif
"12月は11月より順調な推移かな？
過去売上ピークにはまだ至らなさそうだけど徐々に復調気配
しかしなにもペナルティがないはずのベトナム店舗がバンされて売れない謎の状況はいつ復活するんだろうか🐨❓",110,12 11,netral
ai ****** ***** ***** ** ******* ******** **** 😭,12,ai,netral
"@ramdevkar07 ___________________
     |  ________________ |
     | |                       | |
     | |  BOOTING     | |
     | |  NEONATE    | |
     | |  v0.01           | |
     | |______________| |
     |________________|
      \______________/
       \____________/
        \__________/",74,mention booting neonate v0 01,netral
"Pathan: 7/10
Jawan:  6/10 
Adipurush: 4/10
Jailer: 8/10
Leo: 7/10
Animal: 7/10  
Salaar: 8/10 
Guntur Kaaram: 2/10",67,pathan 7 10 jawan 6 10 adipurush 4 10 jailer 8 10 leo 7 10 animal 7 10 salaar 8 10 guntur kaaram 2 10,positif
"Pathan : 🍆
Jawan :  7/10
Adipurush : 🍆
Jailer : 7/10
Leo : 8/10
Animal : 10/10  
Salaar : 9/10 
Guntur Kaaram: 2/10",65,pathan jawan 7 10 adipurush jailer 7 10 leo 8 10 animal 10 10 salaar 9 10 guntur kaaram 2 10,positif
"2025/12/16　D:48,114.26 -302.30 -0.62%　N:23,111.46 +54.05 +0.23%　S:6,800.26 -16.25 -0.24%",57,2025 12 16 d 48 114 26 -302 30 -0 62 n 23 11 46 54 05 0 23 s 6 800 26 -16 25 -0 24,positif
"NaNaNa-sa Shopee na ang BINI!

Have an easy shopping experience ngayong #ShopeeMidYearSale with #ShopeeCODUnbox Return On The Spot at Free Shipping ₱0 min. spend 🧡 Mapapa-OH SHUX din ang lahat dahil Millions of Fashion Deals are now available sa #ShopeeStyles! https://t.co/yvOgSb117d",91,nanana-sa shopee na ang bini have an easy shopping experience ngayong shopeemidyearsale with shopeecodunbox return on the spot at free shipping 0 min spend mapapa-oh shux din ang lahat dahil millions of fashion deals are now available sa shopeestyles,positif
"Jngan Lupa Klaim Voucher Shopeefood 

lumayan makan malam 500 perak 🤤🤤 https://t.co/zxjBV38w3k",43,jngan lupa klaim voucher shopeefood lumayan makan malam 500 perak,positif
Ayoo guys yg mau masih bisa 😍 terakhir tanggal 25 Desember 2025. Gemes gemes gini sayang kan kalo dilewatin 🤭,37,ayoo guys mau bisa akhir tanggal 25 desember 2025 gemes gemes gin sayang kan kalo dilewatin,negatif
"Enjoy exclusive savings with the PayPak Faiday pe Faida offer at Kababjees Fried Chicken.

Get 50% off on your purchase (cap: PKR 1,500) when you pay via your AL Habib PayPak Debit Card at checkout.

Offer valid on December 19th and 20th, 2025, for a limited number of orders https://t.co/nufhQai3zf",91,enjoy exclusive savings with the paypak faiday pe faida offer at kababjees fried chicken get 50 off on your purchase cap pkr 1 500 when you pay via your al habib paypak debit card at checkout offer valid on december 19th and 20th 2025 for a limited number of orders,negatif
"🎉Payday Buy 1 Get 2 หนักจัดเต็มส่งท้ายปี!🔥

โปรสุดท้ายของปี จาวินจะไม่เสิร์ฟความปังได้ไง ขอปิดปี 2025 เริ่ดๆ ด้วยโปรโมชั่น ซื้อ 1 ได้ถึง 2 ชิ้น! แค่ใน TikTok Shop เท่านั้น กับคุชชั่นไซส์มินิที่พกพาง่ายแต่เสกผิวสวยตลอดทั้งวัน✨

🗓️ 25-31 December 2025
🔥 ช่องทางสั่งซื้อ : Only https://t.co/ChTkC27NRy",251,payday buy 1 get 2 2025 1 2 tiktok shop 25-31 december 2025 only,positif
"Kegiatan pagi ini ku awali dengan menagih utang, orang ini cukup problematik pinjem data ku buat ambil paylater di shopee giliran ditagih ntar"" aja kan monyet 🐒 https://t.co/9y4KJv96Et",68,giat pagi ku awal tagih utang orang cukup problematik pinjem data ku buat ambil paylater shopee gilir tagih ntar aja kan monyet,negatif
"Kegiatan pagi ini ku awali dengan menagih utang, orang ini cukup problematik pinjem data ku buat ambil paylater di shopee giliran ditagih ntar"" aja kan monyet 🐒 https://t.co/gD50xkHvSg",68,giat pagi ku awal tagih utang orang cukup problematik pinjem data ku buat ambil paylater shopee gilir tagih ntar aja kan monyet,positif
My CutiePathy Forever 🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰🥰,42,my cutiepathy forever,netral
"@999o7i Prnah pake gopay later &amp; emg asu sih. Dr smw paylater, mnurut gw gopay yg paling ga bgt. Ditagih jauh2 hari (shopee biasanya WA doang) gliran dket jatuh tmpo malah ga dtagih. trus telat payment &amp; bayar denda 50k. Pdahal pk gopaylater pun wktu tu biar dpt promo. Emg sih cuma 50k -",123,mention prnah pake gopay later amp emg asu sih dr smw paylater mnurut gw gopay paling bgt tagih jauh2 hari shopee biasa wa doang gliran dket jatuh tmpo malah dtagih trus telat payment amp bayar denda 50k pdahal pk gopaylater wktu tu biar dpt promo emg sih cuma 50k -,netral
"Shopee payday สามารถใช้ส่วนลดได้นะคะมีสินค้าใหม่ๆมาลงเพิ่มแล้วค่า🛒💨
https://t.co/dwoL3PY8e5 https://t.co/SNaQ8J3zOB",83,shopee payday,positif
"@allhanni @ShopeeID Hi kak allhanni, jangan khawatir yaaa aku segera cuss ke DM kamu. Mohon menunggu DM kamu dibalas yaaa, karena aku cek satu persatu. Silakan di cek DM kamu secara berkala untuk dapat balasan dari aku. Have a good day ^AC",77,mention mention hi kak allhanni jangan khawatir yaa aku segera cuss dm kamu mohon tunggu dm kamu balas yaa aku cek satu satu sila cek dm kamu kala dapat balas aku have a good day ac,netral
"Saya  sedang melakukan penelitian mengenai klausula penagihan di luar jam kerja pada SHOPEE PAY LATER.

KRITERIA:
✅ Pengguna Shopee PayLater
✅ Pernah ditagih di luar jam 08.00-20.00
✅ Bersedia wawancara online (identitas aman)

Isi formulir: https://t.co/Vkv6JQy2cw",100,sedang laku teliti kena klausula tagih luar jam kerja shopee pay later kriteria guna shopee paylater pernah tagih luar jam 08 00-20 00 sedia wawancara online identitas aman isi formulir,negatif
"MAH I’LL REMEMBER DIKABULIN MAHH OMG😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭😭
thankyou tps 2025😭🍀",112,mah i ll remember dikabulin mahh omg thankyou tps 2025,netral
"Shopee Lucky Prize setiap jam

kerjakan misi untuk dapat token
https://t.co/DGT0TAgMI0",29,shopee lucky prize jam kerja misi dapat token,negatif
"@tanyarlfes Banyak orang ngerasa punya duit banyak pas punya paylater. Tapi ga ngukur pendapatan per bulan. Pas ditagih malah playing victim, kayak itu salah paylaternya. Padahal dirinya yg ga bisa kontrol finansialnya.",67,mention banyak orang ngerasa punya duit banyak pas punya paylater tidak ngukur dapat per bulan pas tagih malah playing victim kayak salah paylaternya padahal diri tidak kontrol finansial,netral
"Lupa deh itu barang apaa😭

Yang pake app spaay, bisa dicek
di ‘Kilas Balik ShopeePay 2025’ 
https://t.co/8TIGcHKQ2F https://t.co/CTryBoIupy",61,lupa deh barang apaa pake app spaay cek kilas balik shopeepay 2025,negatif
"📢 DICARI: Responden Penelitian Shopee PayLater

Pernah ditagih Shopee PayLater di tengah malam, hari Minggu, atau libur nasional?",44,cari responden teliti shopee paylater pernah tagih shopee paylater tengah malam hari minggu libur nasional,negatif
"@smoothiesboba @tanyarlfes Wah ga paham juga ya atau mungkin karna domisili deh ga ada dc nya, jadi kalo nunggak paylater akulaku shopee kredivo dll tu ga bakal ditagih kerumah",63,mention mention wah paham ya mungkin karna domisili deh ada dc nya jadi kalo nunggak paylater akulaku shopee kredivo tu bakal tagih rumah,netral
"@tanyakanrl Iya itu beneran bukan gertakan. Spaylater kan legal dan diawasi OJK.. Apalagi km gaada tanda tanda menyicil.. Makin ditagih lah krn dikira kabur.. 

Shopee gak peduli soalnya itu paylater dipake apa krn km kan udah menyepakati kebijakan komunitas apalagi dipakai scr tdk normal",99,mention iya beneran bukan gertak spaylater kan legal awas ojk km gaada tanda tanda menyicil makin tagih lah kira kabur shopee peduli soal paylater dipake apa km kan pakat bijak komunitas pakai scr tdk normal,netral
"@dustfades ka maaf oot, mnding bli shopee vip co skrg apa tunggu payday sale ya?🥹",31,mention ka maaf oot mnding bli shopee vip co skrg apa tunggu payday sale ya,positif
"KRITERIA:
✅ Pengguna Shopee PayLater
✅ Pernah ditagih di luar jam 08.00-20.00
✅ Bersedia wawancara online (identitas aman)

Isi formulir: https://t.co/x15aDOHStO

Terima kasih!",72,kriteria guna shopee paylater pernah tagih luar jam 08 00-20 00 sedia wawancara online identitas aman isi formulir terima kasih,netral
@worksfess nder kamu kuat bangettt bisa pake segitu banyak huhuhu aku punya paylater 500rb aja deg2 an nya bukan main pdhl ga pernah ditagih marah2 sm pihak shopee nya dan gapernah telat bayar 😭,67,mention nder kamu kuat bangett pake segitu banyak huhuhu aku punya paylater 500rb aja deg2 an nya bukan main pdhl pernah tagih marah2 sama pihak shopee nya gapernah telat bayar,negatif
@Shopee__ID takut dicall shopee tar ditagih paylater,19,mention takut dicall shopee tar tagih paylater,negatif
@phukupawpaw SAMPEIN SALAM GWEH KE BAPAK LUHK CUK PLS 😭😭😭,31,mention sampein salam gweh bapak luhk cuk pls,netral
@ssefnum Gue sih asal jelas buat apa dan gak dia yang galak pas ditagih ya gue kasih. Atau gue suruh aja dia gestun paylater ke shopee gue jadi urusan utang dia ke shopee bukan ke gue hehe,69,mention sih asal jelas buat apa tidak yang galak pas tagih kasih saya suruh aja gestun paylater shopee saya jadi urus utang shopee bukan ke saya hehe,negatif
"- Kkurochet รอรอบส่งกลับ คาดว่าถึงไทยประมาณปลายมค
- ssgt รอบส่งธันวา รอส่งกลับ คาดว่าถึงไทยประมาณปลายมค
- ssgt รอบส่งมค รอจัดส่ง คาดว่าถึงไทยประมาณปลาย กพ
#ปังแน่แม่อัพเดท",159,- kkurochet - ssgt - ssgt,netral
@shunamonroll13 @Boocarisweat @dkisdsky @anindyaarea @cupangteriyaki @hanif_saya13349 @kyutigerls @runtosev @shingibangi1317 @diluchi_ @seaweedlamun @pacarghiffa Ngomonginnya langsung di lapak banget nih?,83,mention mention mention mention mention mention mention mention mention mention mention mention ngomonginnya langsung lapak banget nih,netral
"Ayo cek karaktermu di ‘Kilas Balik ShopeePay 2025’, bisa dapat s/d Rp200.000 kalau bisa lengkapin semua karakternya lho!
https://t.co/SvUnpGg3vP

Download aplikasi ShopeePay pakai kode referral aku 94R4RTVWK, bisa dapat saldo ShopeePay!
#KilasBalikShopeepay2025 #AplikasiShopeepay",106,ayo cek karakter kilas balik shopeepay 2025 dapat s d rp200 00 kalau lengkapin semua karakter lho download aplikasi shopeepay pakai kode referral aku 94r4rtvwk dapat saldo shopeepay kilasbalikshopeepay2025 aplikasishopeepay,positif
"@tanyarlfes Oh anjir ternyata gini, gue juga punya modelan orang persis gini, gaya hidupp ga sesuai dompet, pesen shopee terus terusan pake paylater, awal mau pinjem kasian ditagih terus sm paylater katanya, yaudah gue kasih, iya emang dibalikin, tapi lama kelamaan dijadiin dana darurat",101,mention anjir nyata gin juga punya model orang persis gin gaya hidupp sesuai dompet sen shopee terus terus pake paylater awal mau pinjem kasi tagih terus sama paylater kata yaudah kasih iya emang dibalikin lama lama dijadiin dana darurat,negatif
TANGINABHAHAJSBSJABSJABAJABZHAHA NAMAMATAY AKO SA SHUAIHAN,30,tanginabhahajsbsjabsjabajabzhaha namamatay ako sa shuaihan,netral
